*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_10-03-2021
*Date=15:47:35
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;104.611;-36.6508;-31;Bottom;TXT2
2;;;26.0856;-32.6637;0;Bottom;Via15
3;;;154.616;-37.3793;90;Bottom;TXT8
4;;;92.3942;-36.595;-31;Bottom;TXT2
5;;;158.025;-35.264;0;Bottom;TXT16
6;;;105.894;-16.5689;-31;Bottom;TXT2
7;;;35.9156;-12.5449;0;Bottom;Copper Fill92
8;;;141.504;-13.4085;0;Bottom;Copper Fill113
9;220;0805 [SMD];52.2476;-14.6387;90;Top;R5K
10;;THT;151.487;-46.8756;0;Bottom;J2
11;;THT;88.8237;-23.1803;180;Bottom;PC817
12;;;30.7848;-21.0539;0;Bottom;Copper Fill174
13;100µF;200 mil [THT, electrolytic];111.684;-67.2077;-90;Bottom;C2200MF
14;12V;THT;135.116;-41.8077;0;Bottom;RELAY_2
15;;;26.615;-58.7762;0;Bottom;IMG1
16;;;157.869;-47.1709;90;Bottom;TXT14
17;;THT;92.2916;-36.7417;-32.4802;Bottom;1
18;;;63.9317;-68.8313;0;Bottom;Copper Fill127
19;;;4.49565;-23.7738;0;Bottom;Via5
20;;;154.2;-52.1174;91;Bottom;TXT4
21;;THT;99.7457;-30.0383;180;Bottom;PC817
22;;;101.543;-36.595;-31;Bottom;TXT2
23;;;157.742;-65.6111;0;Bottom;TXT17
24;;;16.4337;-37.7437;0;Bottom;Hole1
25;;;157.869;-36.871;90;Bottom;TXT14
26;;;87.4671;-16.4991;-35;Bottom;TXT1
27;;;17.4919;-64.712;0;Bottom;TXT13
28;;1x08;71.8057;-57.0477;-90;Bottom;U3
29;1µF;100 mil [THT, electrolytic];87.5537;-53.9997;180;Bottom;C1MF
30;;;77.9273;-51.9403;0;Bottom;Copper Fill141
31;;;99.6443;-29.9947;0;Bottom;Copper Fill56
32;;sot23;6.71565;-24.7057;180;Top;RS1
33;;;17.7577;-65.6969;0;Bottom;TXT25
34;;;157.786;-52.3975;90;Bottom;TXT14
35;;300 mil [THT];121.59;-39.0391;-90;Bottom;D2
36;;;18.2166;-52.1535;0;Bottom;IMG1
37;;;157.901;-62.6931;90;Bottom;TXT14
38;100nF;200 mil [THT, multilayer];71.0437;-66.6997;90;Bottom;C.4MF
39;;;73.3297;-17.6757;0;Bottom;Copper Fill182
40;;THT;119.304;-39.0137;-90;Bottom;R1K
41;;;18.5166;-36.8527;0;Bottom;Copper Fill124
42;;;134.493;-49.5019;0;Bottom;Copper Fill50
43;;;93.6773;-16.513;-31;Bottom;TXT2
44;;;47.6756;-12.0898;0;Bottom;Via23
45;;THT;105.754;-16.6758;-32.4802;Bottom;1
46;12V;THT;135.116;-25.2977;0;Bottom;RELAY_3
47;;TO-220F-4L;55.5497;-60.6037;0;Bottom;OLED_SP32
48;;;110.653;-36.5609;-31;Bottom;TXT2
49;;THT;71.5517;-30.8857;180;Bottom;R10K
50;;;157.995;-22.1974;90;Bottom;TXT14
51;;;19.5646;-51.7871;0;Bottom;TXT13
52;;;18.3071;-23.7144;-90;Bottom;TXT13
53;;;121.818;-4.26453;0;Bottom;Copper Fill114
54;;;109.754;-29.5883;0;Bottom;Copper Fill58
55;;;111.353;-11.7575;0;Bottom;Copper Fill192
56;5V;TO220 [THT];51.2317;-71.5257;0;Bottom;REG_5V
57;;;16.8121;-45.4052;0;Bottom;TXT13
58;;TO-220F-4L;44.8817;-60.6037;0;Bottom;TMP_2
59;220;0805 [SMD];59.6136;-6.51069;90;Top;R1K
60;;;157.866;-31.5453;90;Bottom;TXT14
61;;THT;95.3396;-36.7417;-32.4802;Bottom;1
62;;;12.356;-57.7916;0;Bottom;TXT13
63;500mA per channel;dil18;103.81;-45.3637;0;Bottom;ULN2803APG
64;;;50.7236;-18.6938;0;Bottom;Via18
65;;;157.746;-7.75069;90;Bottom;TXT14
66;;;157.692;-12.5812;90;Bottom;TXT14
67;;;134.752;-72.2729;0;Bottom;TXT24
68;;;108.906;-16.513;-31;Bottom;TXT2
69;;;46.1516;-3.4538;0;Bottom;Via12
70;;300 mil [THT];121.59;-22.5291;-90;Bottom;D3
71;;1x08;71.8057;-59.8417;90;Bottom;U5
72;;;35.9918;-34.0587;0;Bottom;Copper Fill143
73;;THT;69.2657;-14.3757;-180;Bottom;R10K
74;;;11.3738;-54.2646;0;Bottom;TXT13
75;;;54.2796;-9.0418;0;Bottom;Via13
76;;;45.3644;-24.0003;0;Bottom;Copper Fill167
77;100nF;200 mil [THT, multilayer];111.938;-59.8417;180;Bottom;C.4MF
78;;;20.4175;-72.5064;180;Bottom;TXT13
79;;;157.912;-20.2231;0;Bottom;TXT18
80;;;47.8536;-24.5591;0;Bottom;Copper Fill122
81;;;16.4545;-22.5173;-90;Bottom;A9G
82;;;7.82966;-60.8207;0;Bottom;TXT13
83;;dipswitch-08;93.1417;-7.7717;0;Bottom;DIP_SWITCH_8_CH
84;;sot23;65.7757;-5.82382;0;Top;RS
85;;;157.286;-37.4943;90;Bottom;TXT12
86;;;95.8792;-72.4853;180;Bottom;TXT10
87;;TO-220F-4L;39.5477;-60.6037;0;Bottom;TMP_3
88;;;10.3885;-48.1323;0;Bottom;TXT13
89;220;0805 [SMD];53.0096;-4.47869;90;Top;RK1
90;;;11.1411;-67.3954;0;Bottom;TXT13
91;;;100.051;-64.1577;0;Bottom;Copper Fill129
92;;;26.5057;-1.1646;0;Bottom;TXT11
93;;THT;151.487;-21.4756;0;Bottom;J1
94;;5 mm [THT];119.955;-14.1216;90;Bottom;LED4
95;;THT;102.706;-16.6758;-32.4802;Bottom;1
96;;;44.3738;-7.26358;0;Bottom;Hole5
97;;;66.7765;-6.14413;0;Bottom;Copper Fill203
98;5V;TO220 [THT];78.6637;-71.5257;0;Bottom;REG_5V
99;;;99.8137;-16.513;-31;Bottom;TXT2
