*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PcbSensor_Prod_03-03-2021
*Date=15:51:19
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;110.414;-10.7343;180;Bottom;PC817
2;;TO-220F-4L;44.8817;-60.6037;0;Bottom;TMP_2
3;;;157.784;-27.0761;90;Bottom;TXT14
4;220;0805 [SMD];54.5426;-52.9837;180;Top;R5K
5;;;157.995;-22.1974;90;Bottom;TXT14
6;;;69.0116;-8.0258;0;Bottom;Via3
7;;;26.5057;-1.1646;0;Bottom;TXT11
8;;;69.8933;-6.91093;0;Bottom;TXT22
9;;;70.2817;-23.7822;180;Bottom;ATMEGA-328P
10;;;77.9273;-51.9403;0;Bottom;Copper Fill141
11;;;93.6773;-16.513;-31;Bottom;TXT2
12;;THT;88.8237;-30.0383;180;Bottom;PC817
13;;THT;99.6576;-16.6758;-32.4802;Bottom;1
14;100nF;200 mil [THT, multilayer];71.0437;-66.6997;90;Bottom;C.4MF
15;;;96.6898;-16.4574;-31;Bottom;TXT2
16;;THT;70.0079;-18.974;142.636;Bottom;R10K
17;;;35.9156;-12.5449;0;Bottom;Copper Fill92
18;;;42.8909;-0.881821;0;Bottom;TXT13
19;;;157.692;-12.5812;90;Bottom;TXT14
20;;;98.5303;-36.595;-31;Bottom;TXT2
21;;;17.4919;-64.712;0;Bottom;TXT13
22;;;121.818;-4.26453;0;Bottom;Copper Fill114
23;;;78.3589;-64.9705;0;Bottom;Copper Fill2
24;;TO-220F-4L;34.2137;-60.6037;0;Bottom;TMP_4
25;;THT;93.5616;-16.6758;-32.4802;Bottom;1
26;;;66.7765;-6.14413;0;Bottom;Copper Fill203
27;;;44.6531;-70.0251;0;Bottom;Copper Fill125
28;;;158.025;-35.264;0;Bottom;TXT16
29;;;97.3581;-61.8971;0;Bottom;Copper Fill1
